Config_Name,Bank_Choice,w_ano,w_good,w_neg,knn_k,hard_ano_th,hard_neg_th,supp_factor,mode,tau,morph_open_k,bg_floor_pct,R-FP-RegionCount,R-MissRate,R-PixelCoverage,P-AP,P-AUPRO,P-AUROC,P-F1,I-AUROC,I-AP,I-F1,Elapsed_s
"Grid-Weight [wa=2.0, wg=0.8, wn=0.8]",combined,2.0,0.8,0.8,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22843.0,0.002107728337236534,0.9842526221373817,0.4837402105331421,0.7006163506243289,0.9845659732818604,0.52,0.917096018735363,0.989324569888276,0.9671736890181506,2.8724
"Grid-Weight [wa=1.5, wg=1.0, wn=0.8]",combined,1.5,1.0,0.8,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22791.0,0.002107728337236534,0.9842505780672293,0.48353543877601624,0.7001528820280047,0.9845544099807739,0.52,0.917096018735363,0.9893009054127873,0.9679486679738891,2.8995
"Grid-Weight [wa=1.2, wg=1.5, wn=0.5]",combined,1.2,1.5,0.5,3,0.15,,1.0,weighted_margin,0.1,0,0.0,21995.0,0.002107728337236534,0.9837908563146887,0.48321884870529175,0.699089075087918,0.9845300912857056,0.52,0.9170491803278689,0.989277659879241,0.9695023577264286,2.9447
"Grid-Weight [wa=2.0, wg=1.2, wn=1.0]",combined,2.0,1.2,1.0,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22831.0,0.002107728337236534,0.9842526221373817,0.48358428478240967,0.7003161082003473,0.9845573902130127,0.52,0.9170257611241218,0.9892942719527231,0.9687248898790964,2.89
"Grid-Weight [wa=1.0, wg=1.5, wn=0.8]",combined,1.0,1.5,0.8,3,0.15,,1.0,weighted_margin,0.1,0,0.0,21718.0,0.002107728337236534,0.9836910153718773,0.48304641246795654,0.6980781682518217,0.984506368637085,0.52,0.9170257611241218,0.9892737469652553,0.9695023577264286,2.8644
"Grid-Weight [wa=0.8, wg=0.8, wn=0.5]",combined,0.8,0.8,0.5,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22365.0,0.002107728337236534,0.9842268495491628,0.4833585023880005,0.6996978622681642,0.9845442771911621,0.52,0.9169789227166277,0.9892721082772038,0.9695023577264286,2.9057
"Grid-Weight [wa=0.8, wg=1.0, wn=0.5]",combined,0.8,1.0,0.5,3,0.15,,1.0,weighted_margin,0.1,0,0.0,21985.0,0.002107728337236534,0.9837908563146887,0.48320847749710083,0.699080387061171,0.9845292568206787,0.52,0.9169555035128806,0.9892665863957494,0.9695023577264286,2.9961
"Grid-Weight [wa=2.0, wg=1.5, wn=1.2]",combined,2.0,1.5,1.2,3,0.15,,1.0,weighted_margin,0.1,0,0.0,22722.0,0.002107728337236534,0.9842505780672293,0.4834449589252472,0.7000197783919895,0.9845466017723083,0.52,0.9168852459016393,0.989274705002342,0.9686746488153443,2.933
"Grid-Weight [wa=1.2, wg=1.5, wn=0.8]",combined,1.2,1.5,0.8,3,0.15,,1.0,weighted_margin,0.1,0,0.0,21972.0,0.002107728337236534,0.9837908563146887,0.483203649520874,0.6990703430367915,0.9845282435417175,0.52,0.9168852459016393,0.9892587698640899,0.9695023577264286,2.8782
"Grid-Weight [wa=0.8, wg=1.5, wn=0.5]",combined,0.8,1.5,0.5,3,0.15,,1.0,weighted_margin,0.1,0,0.0,21501.0,0.0029274004683840747,0.9831545023173468,0.4828682839870453,0.6958762685249789,0.9844772815704346,0.52,0.9168618266978922,0.9892539701989238,0.9695023577264286,2.9766
