Suite,Config,I-AUROC,I-AP,I-F1,P-AUROC,P-AP,P-F1,P-AUPRO,R-MissRate,R-FP-RegionCount,R-PixelCoverage,R-FPR,Elapsed
4_Ensemble_Hybrid,Hybrid_Whitened_L1_beta_0.1,0.9178922716627634,0.989377603700302,0.9695023577264286,0.9845853667318494,0.483589684699865,0.5191439793607086,0.9256178368622976,0.002107728337236534,22355.0,0.983821350373172,0.963088709038177,32.7910373210907
4_Ensemble_Hybrid,Hybrid_Whitened_L1_beta_0.2,0.9179156908665105,0.9893806786763295,0.9695023577264286,0.9845850379577876,0.48358857504073344,0.5191439793607086,0.925615596593613,0.002107728337236534,22354.0,0.9838170134835891,0.9630855829453691,33.031036376953125
4_Ensemble_Hybrid,Hybrid_Whitened_L1_beta_0.3,0.9178922716627635,0.9893782423264652,0.9695023577264286,0.984584646121214,0.48358724661328717,0.5191439793607086,0.9256119857804166,0.002107728337236534,22353.0,0.9838170134835891,0.963082766988571,33.055042028427124
4_Ensemble_Hybrid,Hybrid_Whitened_L1_beta_0.5,0.9179625292740047,0.9893866016632846,0.9695023577264286,0.9845835820761752,0.48358331869163146,0.5191410146959492,0.9256025995513533,0.002107728337236534,22359.0,0.9838170134835891,0.9631006566224534,32.99116134643555
4_Ensemble_Hybrid,Density_Calibrated_spherical_angular,0.9180796252927401,0.9894016877040172,0.9695023577264286,0.984582371531051,0.4835916759104979,0.5191499086546164,0.9257858177467639,0.002107728337236534,22429.0,0.9838190575537417,0.9632538183651347,32.84168815612793
4_Ensemble_Hybrid,Density_Calibrated_l2_norm,0.9180562060889931,0.9893993568902766,0.9695023577264286,0.9845811179907332,0.4835854838158968,0.5191499086546164,0.9257746098944923,0.002107728337236534,22434.0,0.9838190575537417,0.9632656387524817,32.854023694992065
4_Ensemble_Hybrid,Density_Calibrated_mahalanobis_diag,0.9180327868852459,0.9893963916132653,0.9695023577264286,0.9845791096121828,0.48357494917038135,0.5191439793607086,0.9257502619133853,0.002107728337236534,22443.0,0.9838190575537417,0.9632808435662077,33.00933814048767
4_Ensemble_Hybrid,Density_Calibrated_whitened_angular,0.9179859484777517,0.989390268162788,0.9695023577264286,0.9845882876358638,0.4836218440822765,0.519155837901043,0.9256991881400238,0.002107728337236534,22409.0,0.9838277313329071,0.9631970213797646,32.91454267501831
5_KNN_Aggregation,Angular_KNN_k1,0.9180327868852459,0.9893958539785358,0.9695023577264286,0.9845796110437642,0.4835600986929549,0.5191350853308185,0.9255597404616578,0.002107728337236534,22369.0,0.9838170134835891,0.9631234931584399,32.90096712112427
5_KNN_Aggregation,Mahalanobis_KNN_k1,0.9179859484777518,0.989390550325669,0.9695023577264286,0.9845762840047969,0.4835432194735318,0.5191341992501971,0.9255304173544239,0.002107728337236534,22380.0,0.9838170134835891,0.9631426170021901,32.87095093727112
