Config_Name,Category,Type,P-AP,P-AUPRO,P-AUROC,P-F1,R-MissRate,R-FP-RegionCount,R-PixelCoverage,R-FPR,I-AUROC,I-AP,I-F1,Elapsed_s
"21_MS_GF_Gray_Pyramid (radii=[2,4,8], eps=1e-04, boost=2.0/1.5)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.48288166522979736,0.9403168123466258,0.9836683869361877,0.5216731429100037,0.002107728337236534,23779,0.9854491529573475,0.9670502731613775,0.9164168618266979,0.9890463522776415,0.9695023577264286,1.21
"20_MS_GF_Pyramid (radii=[2,4,8], eps=1e-03, boost=1.0/1.0)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.4869406223297119,0.929308776684204,0.9851366877555847,0.5203362703323364,0.0029274004683840747,11698,0.98372449372094,0.9315540769195415,0.9155971896955504,0.9892025635092184,0.9662378921407992,1.15
"21_MS_GF_Gray_Pyramid (radii=[2,4,8], eps=1e-03, boost=1.0/1.0)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.4905974864959717,0.9357683954894365,0.9850194454193115,0.5210050344467163,0.0029274004683840747,13834,0.9838414710333141,0.9419360000435909,0.9147072599531617,0.9890470531037523,0.9662920848532344,1.16
"20_MS_GF_Pyramid (radii=[2,4,8], eps=1e-03, boost=1.2/1.0)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.4877029061317444,0.9305953171265917,0.9851531982421875,0.5208823084831238,0.0029274004683840747,13057,0.9840041476624932,0.9387822151228994,0.9157377049180327,0.9891930389694761,0.967068223112533,1.16
"21_MS_GF_Gray_Pyramid (radii=[2,4,8], eps=1e-03, boost=1.2/1.0)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.49069222807884216,0.9337664246168879,0.9850537180900574,0.5219166874885559,0.0029274004683840747,15513,0.9840967001044915,0.9479470787335363,0.9147072599531616,0.9890187151516355,0.967068223112533,1.19
"20_MS_GF_Pyramid (radii=[2,4,8], eps=1e-03, boost=1.5/1.2)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.48830878734588623,0.9352364201000232,0.9850417971611023,0.5215733051300049,0.0029274004683840747,15146,0.9846838126523283,0.9476879584503519,0.9160187353629977,0.9891798211697593,0.9679486679738891,1.16
"21_MS_GF_Gray_Pyramid (radii=[2,4,8], eps=1e-03, boost=1.5/1.2)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.49003347754478455,0.9381496601528689,0.9848886728286743,0.5229976177215576,0.002107728337236534,18340,0.9850460188375005,0.9568861938870937,0.9162295081967213,0.9891478233435088,0.9687248898790964,1.14
"20_MS_GF_Pyramid (radii=[2,4,8], eps=1e-03, boost=2.0/1.5)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.4853563904762268,0.9373600497497608,0.9844002723693848,0.5211067199707031,0.002107728337236534,18322,0.9859137904109943,0.9565381259121051,0.9153395784543327,0.9889878972177093,0.9687248898790964,1.16
"21_MS_GF_Gray_Pyramid (radii=[2,4,8], eps=1e-03, boost=2.0/1.5)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.48367130756378174,0.9422543296088104,0.9837231636047363,0.5220399498939514,0.002107728337236534,22739,0.9855125991918243,0.9653643515847855,0.9164402810304451,0.9890547588418881,0.9695023577264286,1.15
"20_MS_GF_Pyramid (radii=[2,4,8], eps=1e-02, boost=1.0/1.0)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.4874269962310791,0.9288573855930351,0.9851336479187012,0.5195979475975037,0.0029274004683840747,11652,0.9837782784160205,0.9313036626704925,0.9156908665105387,0.9892297383348373,0.9662378921407992,1.12
"21_MS_GF_Gray_Pyramid (radii=[2,4,8], eps=1e-02, boost=1.0/1.0)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.48873862624168396,0.932161913136979,0.985019326210022,0.5199601650238037,0.0029274004683840747,12533,0.9838355273480456,0.9359009064290708,0.9148243559718969,0.9890731812387539,0.9662378921407992,1.13
"20_MS_GF_Pyramid (radii=[2,4,8], eps=1e-02, boost=1.2/1.0)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.488685667514801,0.9363817891646998,0.9851611256599426,0.520868718624115,0.0029274004683840747,13037,0.9840176692859951,0.9387864127315931,0.916112412177986,0.9892548610465588,0.967068223112533,1.13
"21_MS_GF_Gray_Pyramid (radii=[2,4,8], eps=1e-02, boost=1.2/1.0)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.48938918113708496,0.93048295037376,0.9850586652755737,0.5212493538856506,0.0029274004683840747,14081,0.9840759865447182,0.9432890233377956,0.9149882903981265,0.9890661954295772,0.967068223112533,1.14
"20_MS_GF_Pyramid (radii=[2,4,8], eps=1e-02, boost=1.5/1.2)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.48990398645401,0.9379264988650963,0.9849748611450195,0.522650957107544,0.0029274004683840747,15167,0.9846547661934915,0.9477701327873297,0.9168149882903982,0.9892865139809298,0.9687248898790964,1.12
"21_MS_GF_Gray_Pyramid (radii=[2,4,8], eps=1e-02, boost=1.5/1.2)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.48966437578201294,0.9406567267288147,0.9849090576171875,0.522806704044342,0.0029274004683840747,16562,0.9846926829438649,0.9517499545033735,0.9163700234192037,0.9891853035377721,0.9687248898790964,1.14
"20_MS_GF_Pyramid (radii=[2,4,8], eps=1e-02, boost=2.0/1.5)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.4863099455833435,0.9414811609273873,0.9838433861732483,0.5228894352912903,0.002107728337236534,18395,0.985705181306329,0.9566711188366529,0.9169086651053864,0.9892198761701513,0.9703762510677902,1.13
"21_MS_GF_Gray_Pyramid (radii=[2,4,8], eps=1e-02, boost=2.0/1.5)",2A_MultiScale_GF_Pyramid,multiscale_gf,0.4848531484603882,0.9441134156160856,0.9837707281112671,0.522975504398346,0.002107728337236534,20431,0.985667525830955,0.9603398559382931,0.9165807962529274,0.9890858933160548,0.9695023577264286,1.14
"22_MS_GF_Average (radii=[2,4,8], eps=1e-04)",2B_MultiScale_GF_Avg,multiscale_gf,0.48784559965133667,0.9342346225704035,0.9848085045814514,0.5224633812904358,0.004566744730679157,7888,0.980133236943933,0.8979794325747154,0.9169320843091334,0.9894344185535338,0.9656823123650908,1.1
"22_MS_GF_Average (radii=[2,4,8], eps=1e-03)",2B_MultiScale_GF_Avg,multiscale_gf,0.4772934019565582,0.916675349673353,0.9842245578765869,0.5125309824943542,0.006206088992974239,6646,0.9794535018674438,0.8819688196619553,0.9111007025761124,0.9887476143489201,0.9633757462194232,1.13
"30_Bilateral_Smooth (d=5, sc=5, ss=3)",3_Bilateral_Smooth,bilateral_smooth,0.4834606647491455,0.9387570543340692,0.9844790697097778,0.5193505883216858,0.002107728337236534,18941,0.9839835861258558,0.9570194251982522,0.9149648711943794,0.9890245935155162,0.9679486679738891,1.35
"30_Bilateral_Smooth (d=9, sc=5, ss=3)",3_Bilateral_Smooth,bilateral_smooth,0.48356640338897705,0.9375362428556161,0.984431803226471,0.5194560289382935,0.002107728337236534,16895,0.9839079216656523,0.9516997426493187,0.9148477751756441,0.9890101357198731,0.9678972212898315,3.05
"30_Bilateral_Smooth (d=5, sc=5, ss=5)",3_Bilateral_Smooth,bilateral_smooth,0.48346590995788574,0.9387479761407888,0.9844782948493958,0.5193301439285278,0.002107728337236534,18863,0.9839847259240149,0.9568242426825169,0.9149648711943794,0.9890245935155162,0.9679486679738891,1.38
"30_Bilateral_Smooth (d=9, sc=5, ss=5)",3_Bilateral_Smooth,bilateral_smooth,0.48358118534088135,0.9373782585182137,0.9844225645065308,0.5194898247718811,0.002107728337236534,16607,0.9838939667870621,0.9507819584138564,0.914824355971897,0.9890073275411717,0.9678972212898315,3.07
"30_Bilateral_Smooth (d=5, sc=5, ss=10)",3_Bilateral_Smooth,bilateral_smooth,0.48346763849258423,0.9387453720529617,0.9844778776168823,0.5193381905555725,0.002107728337236534,18824,0.9839847259240149,0.9567291677332184,0.9149648711943794,0.9890245935155162,0.9679486679738891,1.46
"30_Bilateral_Smooth (d=9, sc=5, ss=10)",3_Bilateral_Smooth,bilateral_smooth,0.4835871756076813,0.9373111031562316,0.9844183921813965,0.5194897651672363,0.002107728337236534,16466,0.983874538326438,0.9502486070194753,0.914777517564403,0.9890024634133567,0.9678972212898315,3.05
"30_Bilateral_Smooth (d=5, sc=10, ss=3)",3_Bilateral_Smooth,bilateral_smooth,0.4840560853481293,0.9310946476656355,0.9845532178878784,0.519901692867279,0.002107728337236534,18221,0.9840899816557429,0.9553516220252074,0.9145667447306792,0.9889719214589483,0.9678972212898315,1.31
"30_Bilateral_Smooth (d=9, sc=10, ss=3)",3_Bilateral_Smooth,bilateral_smooth,0.48435986042022705,0.9393136130558352,0.9844929575920105,0.5201892852783203,0.002107728337236534,14654,0.9833533383513843,0.9446857098958014,0.9140749414519906,0.9889107752823578,0.9678972212898315,2.98
"30_Bilateral_Smooth (d=5, sc=10, ss=5)",3_Bilateral_Smooth,bilateral_smooth,0.48407477140426636,0.9311405922191648,0.9845536947250366,0.519926130771637,0.002107728337236534,18129,0.9840799658842554,0.9551321784254976,0.9145433255269321,0.988968604509801,0.9678972212898315,1.31
"30_Bilateral_Smooth (d=9, sc=10, ss=5)",3_Bilateral_Smooth,bilateral_smooth,0.4844043254852295,0.9392932836569504,0.9844782948493958,0.5202447772026062,0.002107728337236534,14172,0.9832968770371497,0.9426355407849527,0.9139812646370024,0.9888975255437197,0.9678972212898315,2.94
"30_Bilateral_Smooth (d=5, sc=10, ss=10)",3_Bilateral_Smooth,bilateral_smooth,0.48408228158950806,0.9311578390029696,0.984553873538971,0.5199204087257385,0.002107728337236534,18090,0.984080568782152,0.9550894085416243,0.9145433255269321,0.988968604509801,0.9678972212898315,1.29
"30_Bilateral_Smooth (d=9, sc=10, ss=10)",3_Bilateral_Smooth,bilateral_smooth,0.48442304134368896,0.9392685759549414,0.9844714403152466,0.5202475786209106,0.002107728337236534,13978,0.9832859483696508,0.9419178778210725,0.9139812646370024,0.9888975255437197,0.9678972212898315,2.93
"30_Bilateral_Smooth (d=5, sc=20, ss=3)",3_Bilateral_Smooth,bilateral_smooth,0.4844541549682617,0.9341448132664693,0.9846388697624207,0.5199270248413086,0.002107728337236534,17961,0.9838858538682879,0.9550368858374194,0.9144496487119437,0.9889487362121152,0.9678972212898315,1.3
"30_Bilateral_Smooth (d=9, sc=20, ss=3)",3_Bilateral_Smooth,bilateral_smooth,0.48496365547180176,0.9339425367414453,0.9846374988555908,0.5209950804710388,0.0029274004683840747,13399,0.9830597397161805,0.9398636050713259,0.9130444964871194,0.9887672795298246,0.9663461038713249,2.95
"30_Bilateral_Smooth (d=5, sc=20, ss=5)",3_Bilateral_Smooth,bilateral_smooth,0.48448646068573,0.9342113478646348,0.9846415519714355,0.5199252367019653,0.002107728337236534,17873,0.9838942588275161,0.9548301486081031,0.9144262295081966,0.988946066162757,0.9678972212898315,1.32
"30_Bilateral_Smooth (d=9, sc=20, ss=5)",3_Bilateral_Smooth,bilateral_smooth,0.48500144481658936,0.9339648429209013,0.9846264123916626,0.5211935043334961,0.0029274004683840747,12807,0.9829984543718052,0.9368870719383562,0.912903981264637,0.9887486121553806,0.9663461038713249,2.95
"30_Bilateral_Smooth (d=5, sc=20, ss=10)",3_Bilateral_Smooth,bilateral_smooth,0.484500527381897,0.9342346090408972,0.9846426844596863,0.5199370384216309,0.002107728337236534,17823,0.9838923186119257,0.9547072657858132,0.9144262295081966,0.988946066162757,0.9678972212898315,1.29
"30_Bilateral_Smooth (d=9, sc=20, ss=10)",3_Bilateral_Smooth,bilateral_smooth,0.4850130081176758,0.9339949299786307,0.9846206307411194,0.5212711691856384,0.0029274004683840747,12540,0.9829622301834312,0.9358897539817453,0.912927400468384,0.9887507767984838,0.9662378921407992,2.96
"40_Bilateral_Sharp (sc=5, ss=5, beta=0.5)",4_Bilateral_Sharpening,bilateral_sharp,0.4826110005378723,0.9309955318352457,0.9844601154327393,0.5187248587608337,0.002107728337236534,26213,0.9843241716892032,0.968543165817511,0.9156674473067916,0.9891169102750311,0.9687248898790964,3.01
"40_Bilateral_Sharp (sc=5, ss=5, beta=1.0)",4_Bilateral_Sharpening,bilateral_sharp,0.48217687010765076,0.932906967749809,0.9844408631324768,0.5184352993965149,0.002107728337236534,29809,0.9844439834435394,0.9721626091226336,0.9160889929742388,0.9891723702517166,0.9687248898790964,3.11
"40_Bilateral_Sharp (sc=5, ss=5, beta=1.5)",4_Bilateral_Sharpening,bilateral_sharp,0.4816878139972687,0.93678185639471,0.9844067096710205,0.5181055665016174,0.002107728337236534,33350,0.9845518637411778,0.9748210269772654,0.9164168618266978,0.9892109798906246,0.9695023577264286,3.03
"40_Bilateral_Sharp (sc=5, ss=5, beta=2.0)",4_Bilateral_Sharpening,bilateral_sharp,0.48114028573036194,0.9332835727122043,0.9843581914901733,0.5176948308944702,0.002107728337236534,36731,0.9847744420544385,0.976959701555509,0.916791569086651,0.9892559183295861,0.9695023577264286,3.1
"40_Bilateral_Sharp (sc=10, ss=5, beta=0.5)",4_Bilateral_Sharpening,bilateral_sharp,0.4819774031639099,0.9395004387832708,0.9843964576721191,0.518194854259491,0.002107728337236534,27425,0.9843058517486252,0.9698404007443588,0.916112412177986,0.9891774502789459,0.9687248898790964,3.29
"40_Bilateral_Sharp (sc=10, ss=5, beta=1.0)",4_Bilateral_Sharpening,bilateral_sharp,0.4807598292827606,0.9320700111968023,0.984291136264801,0.517208456993103,0.002107728337236534,32084,0.9845850110583346,0.9740197815286004,0.9168852459016393,0.9892666194652032,0.9695023577264286,3.05
"40_Bilateral_Sharp (sc=10, ss=5, beta=1.5)",4_Bilateral_Sharpening,bilateral_sharp,0.4793289601802826,0.936251256481392,0.9841485619544983,0.5161103010177612,0.001288056206088993,36496,0.9847630889966512,0.976997406079351,0.9176346604215457,0.9893598948388456,0.9695023577264286,3.15
