Config_Name,Category,Type,P-AP,P-AUPRO,P-AUROC,P-F1,R-MissRate,R-FP-RegionCount,R-PixelCoverage,R-FPR,I-AUROC,I-AP,I-F1,Elapsed_s
70_Synergy_61_Hybrid_Curv_Dominant+Direct_k0_p15,7_Full_Pipeline_Synergy,attenuation,0.4441031813621521,0.9196859419643384,0.9823735952377319,0.48272469639778137,0.006063048170087707,50371,0.9291303028484107,0.9783547078079884,0.9109133489461358,0.9885732298893317,0.9648561800646148,1.47
70_Synergy_61_Hybrid_Curv_Dominant+TwoStage_k0_p20,7_Full_Pipeline_Synergy,attenuation,0.4446316361427307,0.9289948013970671,0.9823865294456482,0.48331254720687866,0.006882720301235249,48508,0.9247461244488931,0.9772059127244168,0.9083372365339579,0.9882696613162234,0.9631999500288027,1.63
70_Synergy_61_Hybrid_Curv_Dominant+Direct_k0_p20,7_Full_Pipeline_Synergy,attenuation,0.44463223218917847,0.9290124504091531,0.9823806285858154,0.48334527015686035,0.006882720301235249,48617,0.9250683315137256,0.9774091648998473,0.9104683840749415,0.988504785354005,0.9648561800646148,1.49
70_Synergy_61_Hybrid_Curv_Dominant+TwoStage_k0_p25,7_Full_Pipeline_Synergy,attenuation,0.4450593590736389,0.9252201131995257,0.9823908805847168,0.48387032747268677,0.006882720301235249,47006,0.921124565600937,0.9761550967016882,0.9081967213114754,0.9882471107512381,0.9631999500288027,1.73
70_Synergy_61_Hybrid_Curv_Dominant+Direct_k0_p25,7_Full_Pipeline_Synergy,attenuation,0.4450601041316986,0.9252357105650211,0.9823837280273438,0.4839039742946625,0.006882720301235249,47088,0.9211382433816566,0.9762706494414268,0.9104683840749415,0.9884969404243632,0.9648561800646148,1.56
70_Synergy_61_Hybrid_Curv_Dominant+TwoStage_k3_p0,7_Full_Pipeline_Synergy,attenuation,0.4223150610923767,0.927000241295585,0.9822565317153931,0.4707154929637909,0.003747072599531616,27571,0.9638477964474357,0.9657257010016872,0.9181498829039813,0.9896492293744881,0.9641433763337116,1.29
70_Synergy_61_Hybrid_Curv_Dominant+Direct_k3_p0,7_Full_Pipeline_Synergy,attenuation,0.4223342835903168,0.924713598645855,0.9822839498519897,0.4707542657852173,0.003747072599531616,27592,0.9638510728209141,0.9658562910220478,0.9200468384074941,0.9898544705631578,0.9661835248949177,1.12
70_Synergy_61_Hybrid_Curv_Dominant+TwoStage_k3_p15,7_Full_Pipeline_Synergy,attenuation,0.4308552145957947,0.9318781743287471,0.9829279184341431,0.4806312024593353,0.014331289893006383,17288,0.9178852705867216,0.9434827330425967,0.9111007025761124,0.9886829234598101,0.9638553717069106,1.57
70_Synergy_61_Hybrid_Curv_Dominant+Direct_k3_p15,7_Full_Pipeline_Synergy,attenuation,0.4308564066886902,0.9319126989844871,0.9829233884811401,0.48063260316848755,0.014331289893006383,17336,0.9176244673430057,0.9438112576345199,0.9136065573770492,0.9889634538217066,0.9639711269685111,1.38
70_Synergy_61_Hybrid_Curv_Dominant+TwoStage_k3_p20,7_Full_Pipeline_Synergy,attenuation,0.4313144385814667,0.9282666261952578,0.9829564094543457,0.4811580181121826,0.016104031776645083,16831,0.9135810769053687,0.9419138392154087,0.9108430913348946,0.988649330657283,0.9631999500288027,1.57
